kanji,strokes,grade,freq,jlpt,meanings,readings_on,readings_kun
会,6,2,4,4,"Meeting, Meet, Party, Association, Interview, Join","かい, え","あ.う, あ.わせる, あつ.まる"
光,6,2,527,3,"Ray, Light",こう,"ひか.る, ひかり"
同,6,2,15,4,"Same, Agree, Equal",どう,おな.じ
回,6,2,50,3,"-times, Round, Game, Revolve, Counter For Occurrences","かい, え","まわ.る, -まわ.る, -まわ.り, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える"
多,6,2,139,4,"Many, Frequent, Much",た,"おお.い, まさ.に, まさ.る"
当,6,2,91,3,"Hit, Right, Appropriate, Himself",とう,"あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし"
毎,6,2,436,5,Every,まい,"ごと, -ごと.に"
池,6,2,827,2,"Pond, Cistern, Pool, Reservoir",ち,いけ
米,6,2,61,3,"Rice, Usa, Metre","べい, まい, めえとる","こめ, よね"
羽,6,2,748,2,"Feathers, Counter For Birds, Rabbits",う,"は, わ, はね"
考,6,2,196,4,"Consider, Think Over",こう,"かんが.える, かんが.え"
肉,6,2,986,4,Meat,にく,しし
自,6,2,19,4,Oneself,"じ, し","みずか.ら, おの.ずから, おの.ずと"
色,6,2,621,4,Color,"しょく, しき",いろ
行,6,2,20,5,"Going, Journey, Carry Out, Conduct, Act, Line, Row, Bank","こう, ぎょう, あん","い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう"
西,6,2,259,5,"West, Spain","せい, さい, す",にし
何,7,2,340,5,What,か,"なに, なん, なに-, なん-"
体,7,2,88,4,"Body, Substance, Object, Reality, Counter For Images","たい, てい","からだ, かたち"
作,7,2,103,4,"Make, Production, Prepare, Build","さく, さ","つく.る, つく.り, -づく.り"
図,7,2,539,4,"Map, Drawing, Plan, Extraordinary, Audacious","ず, と","え, はか.る"
声,7,2,388,3,Voice,"せい, しょう","こえ, こわ-"
売,7,2,202,4,Sell,ばい,"う.る, う.れる"
