kanji,strokes,grade,freq,jlpt,meanings,readings_on,readings_kun
陋,9,13,0,0,"Narrowness, Meanness, Humbleness",ろう,"いや.しい, せま.い"
陷,11,10,0,0,"Fall Into, Cave In, Fall (castle), Slide Into",かん,"おちい.る, おとしい.れる"
陜,10,13,0,0,Narrow,"きょう, こう",せま.い
陞,10,13,0,0,"Go Up, Climb",しょう,のぼ.る
陝,10,13,0,0,Place Name,せん,
陟,11,13,0,0,"Climb, Rise","ちょく, とく","すす.む, のぼ.る"
陦,10,13,0,0,Island,"とう, ちょう",しま
陲,11,13,0,0,Boundary,すい,ほとり
陬,11,13,0,0,Corner,"すう, しゅう",すみ
隍,12,13,0,0,Dry Moat,こう,ほり
隘,13,13,0,0,"Narrow, Obstruct","あい, やく",せま.い
隕,13,13,0,0,Fall,"いん, えん, うん",おち.る
隗,13,13,0,0,"High, Steep",かい,けわ.しい
險,16,10,0,0,"Inaccessible Place, Impregnable Position, Steep Place, Sharp Eyes",けん,けわ.しい
隧,15,13,0,0,"Fall, Go Around","すい, つい",みち
隱,17,13,0,0,"Hide, Conceal, Cover","いん, おん","かく.す, かく.れる, よ.る"
隲,17,13,0,0,"Stallion, Climb, Make","ちょく, しつ",のぼ.る
隰,17,13,0,0,"Be Moist, Be Wet","しつ, しゅう",さわ
隴,19,13,0,0,"Hill, Mound","ろう, りょう",おか
隶,8,13,0,0,"Extend, Give, Cast, Slave Radical (no. 171)",たい,
隸,17,13,0,0,"Servant, Prisoner, Criminal, Follower",れい,"したが.う, しもべ"
隹,8,13,0,0,"Bird, Old Bird Radical (no. 172)","さい, すい",とり
雎,13,13,0,0,Osprey,しょ,
雋,12,13,0,0,Excel,"しゅん, せん",すぐ.れる
雉,13,13,0,0,Pheasant,"じ, ち",きじ
雍,13,13,0,0,"Softening, Mitigation","よう, ゆ","ふさ.ぐ, やわら.ぐ"
襍,17,13,0,0,"Mixed, Blended, Mix, Mingle","ざつ, ぞう","まじ.える, まじ.る"
雜,18,10,0,0,"Mixed, Blended, Mix, Mingle","ざつ, ぞう","まじ.える, まじ.る"
霍,16,13,0,0,"Quick, Sudden",かく,にわか
雕,16,13,0,0,Carving,ちょう,"きざ.む, わし, ほ.る"
雹,13,13,0,0,Hail,"はく, ひょく, ぼく",ひょう
霄,15,13,0,0,Sky,しょう,そら
霆,15,13,0,0,"Lightning, Thunder",てい,いかづち
霈,16,13,0,0,"Big Rain, Long Rainy Spell",はい,ひさめ
霓,16,13,0,0,Rainbow,げい,にじ
霎,16,13,0,0,"Light Rain, Short While","しょう, そう",
霑,16,13,0,0,"Moisten, Water, Soak",てん,"うるお.う, うるお.い"
霏,16,13,0,0,Falling Rain Or Snow,ひ,もや
霖,16,13,0,0,Long Rainy Spell,りん,"ながあめ, ながめ"
霙,16,13,0,0,Sleet,"えい, よう",みぞれ
霤,18,13,0,0,"Raindrops Falling From The Eaves, Eaves",りゅう,あまだれ
霪,19,13,0,0,Rain Lasting At Least Ten Days,いん,
霰,20,13,0,0,"Hail, Hailstones, Small Cubes","せん, さん",あられ
霹,21,13,0,0,Thunder,"へき, ひゃく",
霽,22,13,0,0,Clear Up,"せい, さい","は.れる, は.らす"
霾,22,13,0,0,Wind-blown Dust Falling Like Rain,ばい,つちふる
靄,24,13,0,0,"Mist, Haze, Fog",あい,もや
靆,24,13,0,0,Cloud Cover,たい,
靈,24,13,0,0,"Soul, Spirit","れい, りょう",たま
靂,24,13,0,0,"Violent, Thunder, Lightening",れき,
靉,25,13,0,0,Clouds,"あい, い",
靜,16,10,0,0,Quiet,"せい, じょう","しず-, しず.か, しず.まる, しず.める"
靠,15,13,0,0,Lean On,こう,"もた.れる, たが.う, よ.る"
靤,14,13,0,0,Pimple,ほう,にきび
靦,16,13,0,0,Unashamed,てん,
靨,23,13,0,0,Dimple,よう,えくぼ
勒,11,13,0,0,Halter And Bit,ろく,くつわ
靫,12,13,0,0,Quiver,"じん, にん, さ, さい, さつ","うつぼ, うつお, しな.やか, ゆぎ"
靱,12,13,0,0,"Soft, Pliable, Quiver","じん, にん, さ, さい, さつ","うつぼ, うつお, しな.やか, ゆぎ"
靹,13,13,0,0,Archer's Arm Protector,けつ,
鞅,14,13,0,0,"Martingale, Breast Harness, Saddle Girth, Fetter, Shackle, Carry On Back","おう, よう",むながい
靼,14,13,0,0,"Tanned Leather, Smooth Leather","たん, たち, たつ","なめ.す, なめしがわ"
鞁,14,13,0,0,"Reins, Saddle Cover",ひ,
靺,14,13,0,0,"Leather Tabi, Tungusic Tribe","まつ, ばつ",
鞆,14,13,0,0,"Archer's Arm Protector, (kokuji)",,とも
鞋,15,13,0,0,Straw Sandals,"あい, かい","わらじ, くつ"
鞏,15,13,0,0,"Hard, Firm",きょう,かたい
鞐,15,13,0,0,"Clamp, Fastener, (kokuji)",,こはぜ
鞜,17,13,0,0,"Shoes, Boots",とう,くつ
鞨,18,13,0,0,"Leather Boots, Drum, Tribe Name","かつ, がち, せつ, ぜち",かわぐつ
鞦,18,13,0,0,Swing,しゅう,"ふらん.に, しりがい"
鞣,18,13,0,0,Tanned Leather,"じゅう, にゅう","なめ.す, なめしがわ"
鞳,18,13,0,0,Rumbling,とう,
鞴,19,13,0,0,Bellows,"ひ, び, ふく",ふいご
韃,22,13,0,0,"Whip, Region Name","だつ, たつ",
韆,24,13,0,0,"Swing, Trapeze",せん,
韈,23,13,0,0,"Tabi, Socks, Stockings","べつ, もち, ばつ, まち",しとうず
韋,10,13,0,0,Tanned Leather Radical (no. 178),い,そむ.く
韜,20,13,0,0,"Bag, Wrapping",とう,"ゆぶくろ, ゆみぶくろ, つつ.む"
韭,9,13,0,0,Leek Radical (no. 179),"きゅう, く",
齏,23,13,0,0,Dishes Seasoned With Vinegar Or Miso,"せい, さい","あえもの, なます, あ.える"
韲,19,13,0,0,Dress (salad) Vegetables,"せい, さい","あえもの, なます, あ.える"
竟,11,13,0,0,"End, Finally","きょう, けい","おわ.る, ついに, わた.る"
韶,14,13,0,0,"Beautiful, Emperor Shun's Music",しょう,
韵,13,13,0,0,"Rhyme, Vowel",いん,ひびき
頏,13,13,0,0,"Alight, Land, Throat, Neck",こう,のど
頌,13,9,0,1,Eulogy,"しょう, じゅ, よう","かたち, たた.える, ほめ.る"
頸,16,13,0,0,"Neck, Head",けい,くび
頤,15,13,0,0,"Chin, Jaw",い,"おとがい, あご"
頡,15,13,0,0,"Take Wing, Fly Up","けつ, きつ, かつ, けち",
頷,16,13,0,0,Nod Approval,"がん, かん","うなず.く, あご"
頽,16,13,0,0,"Decline, Slide",たい,くず.れる
顆,17,13,0,0,Grain (e.g. Rice),か,つ.ぶ
顏,18,13,0,0,"Face, Expression",がん,かお
顋,18,13,0,0,"Lower Part Of Face, Jaw, Gills Of A Fish",さい,"あご, えら"
顫,22,13,0,0,Shudder,せん,ふる.える
顯,23,10,0,0,"Manifest, Display, Evident, Clear",けん,"あきらか, あらわ.れる"
顰,24,13,0,0,"Scowl, Raise Eyebrows",ひん,"ひそ.める, しか.める"
顱,25,13,0,0,"Head, Skull",ろ,"かしら, あたま"
顴,26,13,0,0,Cheekbone,"けん, かん",
顳,27,13,0,0,Temple (of Head),しょう,
颪,12,13,0,0,"Wind From Mountains, (kokuji)",,おろし
颱,14,13,0,0,Typhoon,たい,
颶,17,13,0,0,Storm,"ぐ, く",
飄,20,13,0,0,"Turn Over, Wave",ひょう,"ひるが.える, つむじかぜ"
飃,20,13,0,0,"Whirlwind, Cyclone, Floating",ひょう,"ひるが.える, つむじかぜ"
飆,21,13,0,0,Whirlwind,ひょう,つむじかぜ
飩,13,13,0,0,Japanese Noodles,"どん, とん",
飫,13,13,0,0,Satiety,"よう, お, よ",あき.る
餃,15,13,0,0,Gyoza,"ぎょう, きょう, こう",
餉,15,13,0,0,(dried) Boiled Rice,しょう,"け, かれい, かれい.い, べんとう"
餒,16,13,0,0,"Hunger, Spoil","だい, い",う.える
餔,16,13,0,0,"Eat, Late Afternoon Meal","ほ, ふ","く.う, ゆうめし"
餘,16,13,0,0,"Surplus, Excess, Remainder",よ,"あま.る, あま.り, あま.す"
餡,17,13,0,0,Bean Jam,"あん, かん",
餝,16,13,0,0,"Decorate, Ornament, Adorn, Embellish","こう, しき, しょく","かざり, かざ.る"
餞,17,13,0,0,Farewell Gift,せん,はなむけ
餤,17,13,0,0,"Eat, Feed, Advance, Lure, Incite, Food Baked In Dough",たん,
餠,17,13,0,0,Rice Cake,"へい, ひょう","もち, もちい"
餬,18,13,0,0,Rice Broth,こ,かゆ
餮,18,13,0,0,"Voracious, Gluttonous",てつ,むさぼ.る
餽,19,13,0,0,"Give, Provide",き,おく.る
餾,19,13,0,0,Steaming Rice,りゅう,
饂,19,13,0,0,"Japanese Noodles, (kokuji)",うん,うどん
饉,20,13,0,0,Hunger,きん,う.える
饅,20,13,0,0,"Bean-jam Dumpling, Manjuu",まん,
饐,21,13,0,0,"Go Bad, Sour","い, えい, えつ","す.える, むせ.ぶ"
饋,21,13,0,0,"Give, Provide, Offer",き,おく.る
饑,21,13,0,0,"Hunger, Thirst",き,う.える
饒,21,13,0,0,Abundant,"じょう, にょう",ゆたか
饌,21,13,0,0,"Food, Offering","せん, さん",そな.える
饕,22,13,0,0,"Be Greedy, Be Ravenous",とう,むさぼ.る
馗,11,13,0,0,Road,き,
馘,17,13,0,0,"Behead, Dismiss","かく, きょく","くびき.る, みみき.る"
馥,18,13,0,0,Perfume,"くく, ひょく, ふく","か, かお.る"
馭,12,13,0,0,Driving (horse),ぎょ,
馮,12,13,0,0,"Displeasure, Proper Name","ひょう, ふ, ふう","たの.む, よ.る"
馼,14,13,0,0,Zebra With Yellow Eyes And Red Mane,"ぶん, もん",
駟,15,13,0,0,Four Horses,し,
駛,15,13,0,0,Run Fast,し,"は.せる, はや.い"
駝,15,13,0,0,"Hunchback, Load","だ, た",せむし
駘,15,13,0,0,Stupid,たい,
駑,15,13,0,0,"Slow Horse, Foolish Fellow",ど,にぶ.い
駭,16,13,0,0,Be Surprised,"がい, かい","おどろ.く, おどろ.かす"
駮,16,13,0,0,Spots,"かく, はく","ぶち, まだら"
駱,16,13,0,0,White Horse,らく,かわらげ
駲,16,13,0,0,"Horse's Buttocks, Horse's Tail","しゅう, じゅん",
駻,17,13,0,0,"Rage, Run Wild",かん,
駸,17,13,0,0,"Speed, Horses Running",しん,
騁,17,13,0,0,"Run Fast, Gallop, As One Pleases",てい,はせ.る
騏,18,13,0,0,Fast Horse,き,
騅,18,13,0,0,Grey Horse,すい,あしげ
駢,16,13,0,0,Two-horse Carriage,へん,なら.ぶ
騙,19,13,0,0,Deceive,へん,"かた.る, だま.す"
騫,20,13,0,0,"Lift Up, Err, Hopping",けん,
騷,20,10,0,0,"Harass, Bother, Annoy, Disturb, Agitate, Sad, Grieved",そう,"さわ.ぐ, うれい, さわが.しい"
驅,21,13,0,0,"Spur A Horse On, Expel, Drive Away",く,"か.ける, か.る"
驂,21,13,0,0,Extra Driver Or Horse,さん,そえうま
驀,20,13,0,0,Going Straight Forward,ばく,
驃,21,13,0,0,White Horse,ひょう,
騾,21,13,0,0,Mule,ら,
驕,22,13,0,0,"Pride, Haughtiness",きょう,おご.る
驍,22,9,0,0,"Strong, Good Horse, Gallant, Brave, Ferocious","ぎょう, きょう","たけし, つよ.い"
驛,23,13,0,0,Station,えき,
驗,23,10,0,0,"Verification, Effect, Testing","けん, げん","あかし, しるし, ため.す, ためし"
驟,24,13,0,0,"Run, Suddenly",しゅう,"にわか, はせ.る"
驢,26,13,0,0,Donkey,"ろ, りょ",うさぎうま
驥,26,13,0,0,"Fast Horse, Talent",き,
驤,27,13,0,0,Lift One's Head,"じょう, しょう",あ.がる
驩,27,13,0,0,"Greetings, Be Happy, Celebrate",かん,よろこ.ぶ
驫,30,13,0,0,Many Horses,しょう,
驪,29,13,0,0,Black Horse,"り, れい",
骭,13,13,0,0,"Leg, Shin",かん,はぎ
骰,14,13,0,0,"Dice, Bones",とう,さい
骼,16,13,0,0,Bleached Bones,かく,
髀,18,13,0,0,Thigh,"ひ, へい",もも
髏,21,13,0,0,Skull,ろ,
髑,23,13,0,0,Skull,"どく, とく",
髓,23,13,0,0,"Marrow, Pith",ずい,
體,23,13,0,0,"The Body, Substance, Object, Reality","たい, てい","からだ, かたち"
髞,23,13,0,0,"Hurry, High",そう,
髟,10,13,0,0,"Hair Hanging Long, Mane, Long Hair Radical (no.190)","ひゅう, ひょう",
髢,13,13,0,0,Wig,"てい, せき",かもじ
髣,14,13,0,0,Dimly,ほう,
髦,14,13,0,0,"Bangs, Long Hair, Excellence","ぼう, もう",たれがみ
髯,15,13,0,0,"Beard, Mustache",ぜん,ひげ
髫,15,13,0,0,"Children's Long Hair, Small Child",ちょう,"うな.る, うな.い"
髮,15,10,0,0,Hair,はつ,かみ
髴,15,13,0,0,Dimly,ふつ,
髱,15,13,0,0,"Topknot, Bun, Coiled Hairknot",ほう,たぼ
髷,16,13,0,0,Topknot,きょく,"まげ, わげ"
髻,16,13,0,0,Samurai Topknot,"けい, きつ","たぶさ, みずら, もとどり"
鬆,18,13,0,0,"Loose, Dishevelled, Pore, Cavity In Overboiled Daikon","しょう, そう, しゅ",
鬘,21,13,0,0,"Wig, Hair Piece","ばん, まん",かつら
鬚,22,13,0,0,"Beard, Mustache","しゅ, す",ひげ
鬟,23,13,0,0,"Topknot, Chignon, Male Hairstyle Of Looped Ponytails",かん,"わげ, みずら"
鬢,24,13,0,0,Sideburns,"びん, ひん",
鬣,25,13,0,0,Mane,りょう,たてがみ
鬥,10,13,0,0,Broken Gate Radical (no. 191),,
鬧,15,13,0,0,"Quarrel, Dispute Hotly","とう, どう",さわが.しい
鬨,16,13,0,0,"Fight, War Cry","こう, ぐ",とき
鬩,18,13,0,0,Quarrel,"けき, かく, げき",せめ.ぐ
鬪,20,13,0,0,Fighting,とう,"たたか.う, あらそ.う"
鬮,26,13,0,0,"Lottery, Lot, Raffle",きゅう,くじ
鬯,10,13,0,0,"Fragrant Herbs, Spiced Liqueur, Grow, Spread",ちょう,かおりぐさ
鬲,10,13,0,0,Tripod,"かく, れき","かなえ, へだ.てる"
魄,15,13,0,0,"Soul, Spirit","はく, たく",たましい
魃,15,13,0,0,(god Of) Drought,"はつ, ばつ",
魏,18,13,2075,0,"High, Large, Kingdom Of Wei",ぎ,たか.い
魍,18,13,0,0,Spirits Of Mountains And Streams,"もう, ぼう",
魎,18,13,0,0,Spirits Of Trees And Rocks,りょう,こだま
魑,21,13,0,0,Mountain Spirits,ち,すだま
魘,24,13,0,0,Have A Nightmare,"えん, よう",うな.される
魴,15,13,0,0,Type Of Sea Bream,ほう,"かがみたい, おしきうお, かがみだい"
鮓,16,13,0,0,"Sushi, Seasoned Rice",さ,すし
鮃,16,13,0,0,"Flounder, Flatfish","ひょう, へい",ひらめ
鮑,16,13,0,0,Abalone,"ほ, ほう",あわび
鮖,16,13,0,0,"Bullhead, (kokuji)",,かじか
鮗,16,13,0,0,"Gizzard Shad, (kokuji)",,このしろ
鮟,17,13,0,0,Angler-fish,あん,
鮠,17,13,0,0,"Dace (carp), (kokuji)","かい, げ, がい","はえ, はや"
鮨,17,13,0,0,"Sushi, Seasoned Rice","し, き",すし
鮴,17,13,0,0,"Bullhead, Rockfish, Razor Clam, Flathead, (kokuji)",,"めばる, まて, こち, ごり"
鯀,18,13,0,0,"Large Mythical Fish, Proper Name",こん,
鯊,18,13,0,0,Goby (fish),"さ, しゃ","さめ, はぜ"
鮹,18,13,0,0,Octopus,"しょう, そう",たこ
鯆,18,13,0,0,Type Of Herring,"ふ, ほ",いるか
鯏,18,13,0,0,"Short Necked Clam, Dace, Chub, (kokuji)",,"あさり, うぐい"
鯑,18,13,0,0,"Yellow Fish (herring) Eggs (sushi), (kokuji)",,かずのこ
鯒,18,13,0,0,"Flathead (fish), (kokuji)",,こち
鯣,19,13,0,0,Cuttlefish,えき,するめ
鯢,19,13,0,0,"Salamander, Female Whale, Small Fish, Old Person's Teeth",げい,さんしょううお
鯤,19,13,0,0,"Large Mythical Fish, Roe",こん,
鯔,19,13,0,0,Mullet (fish),し,"ぼら, とど"
鯡,19,13,0,0,Herring,ひ,"にしん, はららご"
鰺,22,13,0,0,Horse Mackerel,そう,あじ
鯲,19,13,0,0,"Loach, Lamprey, (kokuji)",,どじょう
鯱,19,13,0,0,"Fabulous Dolphin-like Fish, Killer Whale, (kokuji)",,"しゃちほこ, しゃち"
鯰,19,13,0,0,"Fresh-water Catfish, (kokuji)",ねん,なまず
鰕,20,13,0,0,"Shrimp, Prawn, Lobster",か,えび
鰔,20,13,0,0,"Flatfish, Turbot, Cod",かん,"かれい, たら"
鰉,20,13,0,0,Sturgeon,こう,"ちょうざめ, ひがい"
鰓,20,13,0,0,"Gills, Gill Slits","さい, し",えら
鰌,20,13,0,0,Loach (fish),"しゅ, しゅう",どじょう
鰆,20,13,0,0,Spanish Mackerel,しゅん,さわら
鰈,20,13,0,0,"Sole, Flatfish, Flounder","ちょう, とう",かれい
鰒,20,13,0,0,"Abalone, Puffer Fish",ふく,"あわび, ふぐ"
鰊,20,13,0,0,Herring,れん,にしん
鰄,20,13,0,0,A Type Of Fish,い,
鰮,21,13,0,0,Sardine,おん,いわし
鰛,20,13,0,0,Sardine,おん,いわし
鰥,21,13,0,0,"Widower, Unmarried Man","かん, こん","やもめ, やもお"
鰤,21,13,0,0,Yellowtail,"し, そう","ぶり, はまち, かます"
鰡,21,13,0,0,"Type Of Fish, Mullet","りゅう, る",ぼら
鰰,21,13,0,0,"Sandfish, (kokuji)",,はたはた
鱇,22,13,0,0,Anglerfish,こう,
鰲,22,13,0,0,Huge Sea Turtle,ごう,おおがめ
鱆,22,13,0,0,Octopus,しょう,たこ
鰾,22,13,0,0,Fish Bladder,ひょう,"ふえ, うきぶくろ"
鱚,23,13,0,0,"Sillaginoid, (kokuji)",,きす
鱠,24,13,0,0,Lizard Fish,"かい, け","えそ, なます"
鱧,24,13,0,0,"Conger, Sea Eel",れい,はも
鱶,26,13,0,0,Shark,"しょう, よう","ふか, ひもの"
鱸,27,13,0,0,Sea Bass,ろ,すずき
鳧,13,13,0,0,"Wild Duck, End, Suffix",ふ,"けり, かも"
鳬,9,13,0,0,"Wild Duck, End, Suffix",ふ,"けり, かも"
鳰,13,13,0,0,"Grebe, (kokuji)",,にお
鴉,16,13,0,0,"Crow, Raven",あ,からす
鴈,15,13,2128,0,Wild Goose,がん,"かり, かりがね"
鳫,13,13,0,0,Wild Goose,がん,"かり, かりがね"
鴃,15,13,0,0,Shrike,"けい, けき, けつ",もず
鴆,15,13,0,0,A Poisonous Chinese Bird,ちん,
鴪,16,13,0,0,"Flying Fast, Swooping",いつ,
鴦,16,13,0,0,Female Mandarin Duck,おう,
鶯,21,13,0,0,Nightingale,おう,うぐいす
鴣,16,13,0,0,Partridge,こ,
鴟,16,13,0,0,Kite,し,とび
鵄,17,13,0,0,"Kite, Horned Owl, Wine Cups",し,とび
鴕,16,13,0,0,Chinese Ostrich,"だ, た",
鴒,16,13,0,0,Wagtail,れい,
鵁,17,13,0,0,Night Heron,こう,
鴿,17,13,0,0,"Dove, Temple Pigeon",こう,"はと, どばと"
鴾,17,13,0,0,Crested Ibis,ぼう,とき
鵆,17,13,0,0,"Plover, (kokuji)",,ちどり
鵈,17,13,0,0,Kite (bird),,とび
鵝,18,13,0,0,Goose,が,
鵞,18,13,0,0,Goose,が,
鵤,18,13,0,0,"Grosbeak, Hawkfinch, (kokuji)",,"いかる, いかるが"
鵑,18,13,0,0,Cuckoo,けん,
鵐,18,13,0,0,Unmottled Quail,"ぶ, む",
鵙,18,13,0,0,Shrike,"けき, げき",もず
鵲,19,13,0,0,Magpie,"しゃく, じゃく",かささぎ
鶉,19,13,0,0,Quail,"じゅん, しゅん",うずら
鶇,19,13,0,0,Thrush,"とう, つ",つぐみ
鶫,20,13,0,0,"Thrush, (kokuji)","とう, つ",つぐみ
鵯,19,13,0,0,Brown Eared Bulbul,"ひ, ひつ",ひよどり
鵺,19,13,0,0,"Fabulous Night Bird, Chimera","こう, や",ぬえ
鶚,20,13,0,0,Osprey,がく,みさご
鶤,20,13,0,0,Type Of Black Songbird,"うん, こん","とうまる, しゃも"
鶩,20,13,0,0,Domestic Duck,"ぼく, ぶ, む",あひる
鶲,21,13,0,0,"Crested Flycatcher, Peewee",,ひたき
鷄,21,10,0,0,Chicken,けい,"にわとり, とり"
鷁,21,13,0,0,Waterfowl Which Flies High But Not Against The Wind,げき,
鶻,21,13,0,0,"Falcon, Eagle","こつ, かつ",はやぶさ
鶸,21,13,0,0,"Siskin, Greenfinch, Light Yellow-green",じゃく,ひわ
鶺,21,13,0,0,Wagtail,せき,
鷆,21,13,0,0,Yellow-white Mottled Songbird,"てん, しん",かすい
鷏,21,13,0,0,Yellow-white Mottled Songbird,"てん, しん",かすい
鷂,21,13,0,0,Sparrow Hawk,よう,はいたか
鷙,22,13,0,0,"Bird Of Prey, Desolate, Rough, Daring, Bravery","ごう, し, ちつ",
鷓,22,13,0,0,Partridge,しゃ,
鷸,23,13,0,0,"Kingfisher, Snipe",いつ,しぎ
鷦,23,13,0,0,Wren,しょう,
鷭,23,13,0,0,"Water Hen, Gallinulle","はん, ば",ばん
鷯,23,13,0,0,Wren,りょう,
鷽,24,13,0,0,"Long-tailed Bird, Dove, Bullfinch","かく, あく",うそ
鸚,28,13,0,0,"Parrot, Parakeet","いん, おう, よう",
鸛,28,13,0,0,Japanese Stork,かん,こうのとり
鸞,30,13,0,0,"Fabulous Mythical Bird, Imperial",らん,
鹵,11,13,0,0,Salt,ろ,"しお, しおち, たて"
鹹,20,13,0,0,Salty,"かん, だい","から.い, しおからい, しおけ, せいしゅ"
鹽,25,13,0,0,Salt,えん,しお
麁,13,13,0,0,"Rough, Crude, Coarse",そ,あら.い
麈,16,13,0,0,"Moose, Priest's Horsehair Flapper, Elk","しゅ, す",おおじか
麋,17,13,0,0,Reindeer,び,なれしか
麌,18,13,0,0,"Stag, Buck, Hart","ぐ, ご",おじか
麒,19,9,0,0,"Chinese Unicorn, Genius, Giraffe, Bright, Shining",き,
麕,19,13,0,0,Roe Deer,"きん, くん",のろ
麑,19,13,0,0,Fawn,"げい, べい","こじか, かのこ"
麝,21,13,0,0,Musk Deer,"じゃ, しゃ",
麥,11,13,0,0,Wheat,ばく,むぎ
麩,15,13,0,0,Light Wheat-gluten Bread,ふ,ふすま
麸,11,13,0,0,Light Wheat-gluten Bread,ふ,ふすま
麪,15,13,0,0,"Noodles, Wheat Flour","めん, べん",むぎこ
麭,12,13,0,0,Sticky Rice Ball,ほう,こなもち
靡,19,13,0,0,"Flutter, Wave, Bow To, Obey, Seduce","ひ, び, み","なび.く, ない, わ.ける"
黌,25,13,0,0,School,"こう, おう",
黎,15,9,2335,1,"Dark, Black, Many","れい, り",くろ.い
黏,17,13,0,0,"Stick To, Glutinous, Sticky, Glue",ねん,"ねば.り, ねば.る"
黐,23,13,0,0,Bird-lime,"ち, り",もち
黔,16,13,0,0,Black,"けん, きん",くろ.い
黜,17,13,0,0,Draw Back,ちゅつ,しりぞ.ける
點,17,13,0,0,"Point, Mark, Speck, Decimal Pt",てん,"つ.ける, つ.く, た.てる, さ.す, とぼ.す, とも.す, ぼち"
黝,17,13,0,0,Black,ゆう,あおぐろ
黠,18,13,0,0,Crafty,かつ,"さと.い, わるがしこ.い"
黥,20,13,0,0,Tatooing,"けい, げい",いれずみ
黨,20,13,0,0,"Party, Faction, Clique",とう,"なかま, むら"
黯,21,13,0,0,"Black, Dark",あん,くら.い
黴,23,13,0,0,"Mold, Mildew","ばい, び, まい, み","かび, かび.る, か.びる"
黶,26,13,0,0,"Mole, Scar, Blemish","あん, えん",ほくろ
黷,27,13,0,0,"Make Dirty, Become Dirty",とく,"けが.す, けが.れる"
黹,12,13,0,0,Sewing Radical (no. 204),ち,"ぬう, ぬいとり"
黻,17,13,0,0,"Lap Robe, Embroidery Pattern",ふつ,あや
黼,19,13,0,0,Embroidery,"ふ, ほ",あや
黽,13,13,0,0,"Green Frog, Industry","ぼう, びん, べん, みん, めん","あおがえる, つと.める"
鼇,24,13,0,0,Great Sea Turtle,ごう,
鼈,25,13,0,0,"Snapping Turtle, Fresh-water Turtle","べつ, へつ",すっぽん
皷,14,13,0,0,"Drum, Beat, Rouse",こ,つづみ
鼕,18,13,0,0,Beating Of Drums,とう,
鼡,8,13,0,0,"Rat, Mouse, Dark Gray","そ, しょ","ねずみ, ねず"
鼬,18,13,0,0,"Weasel, Skunk, Ermine","ゆう, ゆ",いたち
鼾,17,13,0,0,Snoring,かん,いびき
齊,14,10,0,0,"Alike, Equal, Similar, Saito","せい, さい","そろ.う, ひと.しい, ひと.しく, あたる, はやい"
齒,15,13,0,0,"Tooth, Cog",し,"よわい, は, よわ.い, よわい.する"
齔,17,13,0,0,"Losing Baby Teeth, Child","しん, そん, とん",かけば
齣,20,13,0,0,"A Paragraph, Section","しゃく, しゅつ, せき",こま
齟,20,13,0,0,"Uneven, Bite, Disagree","そ, さ, しょ",かむ
齠,20,13,0,0,"Baby Teeth, Young Child",ちょう,
齡,20,13,0,0,Age,れい,"よわ.い, とし"
齦,21,13,0,0,Gums,"ぎん, こん",はぐき
齧,21,13,0,0,"Gnaw, Nibble, Munch, Have A Smattering Of","げつ, けつ","かじ.る, か.む"
齬,22,13,0,0,Irregular Teeth,ご,
齪,22,13,0,0,Grating The Teeth,"さく, そく, せく, しゅく, しゅう",せま.る
齷,24,13,0,0,"Grating The Teeth, Fretful",あく,
齲,24,13,0,0,"Decayed Tooth, Cavity","く, う",むしば
齶,24,13,0,0,Jaw,がく,"あご, はぐき"
龕,22,13,0,0,Alcove For An Image,"かん, がん",れい
龜,18,13,0,0,"Turtle, Tortoise","き, きゅう, きん",かめ
龠,17,13,0,0,Flute,やく,ふえ
堯,12,9,0,0,"High, Far",ぎょう,たか.い
槇,14,9,0,0,"Twig, Chinese Black Pine","てん, しん","まき, こずえ"
遙,14,9,0,0,"Far Off, Distant, Long Ago",よう,はる.か
瑤,14,13,0,0,Beautiful (as A Jewel),よう,たま
凜,15,9,0,1,"Cold, Strict, Severe",りん,きびし.い
熙,15,9,0,1,"Bright, Sunny, Prosperous, Merry",き,"たのし.む, ひか.る, ひろ.い, よろこ.ぶ, かわ.く, あきらか, ひろ.める, ひろ.まる"
丂,2,13,0,0,"Obstruction Of Breath (qi) As It Seeks Release, Variant Of Other Characters",こう,さまた.げられる
丄,2,13,0,0,Above,"じょう, しょう","うえ, うわ-, かみ, あ.げる, あ.がる, あ.がり, のぼ.る, のぼ.せる, のぼ.す, よ.す"
丅,2,13,0,0,"Under, Underneath, Below, Down, Inferior, Bring Down","か, げ","した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.す, くだ.さる, お.ろす, お.りる"
丌,3,13,0,0,Table,"き, ご","そ.れ, そ.の, だい"
丒,4,13,0,0,"The Period From 1 To 3 Am, 2nd Character Of The ""branches""",ちゅう,うし
丟,6,13,0,0,"Discard, Reject, Lose","ちゅう, ちゅ","さる, なげう.つ"
丣,7,13,0,0,The Tenth Of The Twelve Terrestrial Branches (ancient Form),ゆう,とり
两,7,13,0,0,"Two, Both, Pair, Couple, Ounce",りょう,"て.る, ふたつ"
丨,1,13,0,0,"Number One, Line, Rod Radical (no. 2)","こん, し, じょ, にょ","すす.む, しりぞ.く"
丫,3,13,0,0,"Bifurcation, Fork","あ, や","ふたまた, あげまき"
丮,4,13,0,0,Catch,"けき, きゃく","も.つ, と.る"
丯,4,13,0,0,Dense,かい,さんらん.する
丰,4,13,0,0,"Abundant, Lush, Bountiful, Plenty, Fat Face, Luxurious Growth Of Grass","ほう, ふ, ふう","みめよ.い, しげ.る"
